"id","name","source_url","created_at","updated_at"
1,"Books","https://www.amazon.com/Leadership-Secrets-Billy-Graham/dp/0310255783","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
2,"Health & Household","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
3,"Oral Care","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
4,"Toothbrushes & Accessories","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
5,"Powered Toothbrushes & Accessories","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
6,"Powered Toothbrushes","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
7,"Sonic","https://www.amazon.com/dp/B0BHT4TKN5?th=1","2025-10-17 00:00:55.546706+08","2025-10-17 00:00:55.546706+08"
8,"Automotive","https://www.amazon.com/TRQ-Front-Wheel-Bearing-Assemblies/dp/B0747ZBCGZ","2025-10-17 22:20:57.798561+08","2025-10-17 22:20:57.798561+08"
9,"Devices with Alexa","https://www.amazon.com/","2025-10-17 22:20:57.798561+08","2025-10-17 22:20:57.798561+08"
10,"Kindle eBooks","https://www.amazon.com/Resilienz-st%C3%A4rken-Herausforderungen-Achtsamkeit-Selbstf%C3%BCrsorge-ebook/dp/B0CTCYCZTD","2025-10-17 22:20:57.798561+08","2025-10-17 22:20:57.798561+08"
187,"Today's Deals","https://www.amazon.com/gp/goldbox?ref_=nav_cs_gb","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
188,"Prime Video","https://www.amazon.com/Amazon-Video/b/?ie=UTF8&node=2858778011&ref_=nav_cs_prime_video","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
189,"Registry","https://www.amazon.com/gp/browse.html?node=16115931011&ref_=nav_cs_registry","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
190,"Gift Cards","https://www.amazon.com/gift-cards/b/?ie=UTF8&node=2238192011&ref_=nav_cs_gc","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
191,"Customer Service","https://www.amazon.com/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_customerservice","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
192,"Sell","https://www.amazon.com/b/?_encoding=UTF8&ld=AZUSSOA-sell&node=12766669011&ref_=nav_cs_sell","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
193,"Disability Customer Support","https://www.amazon.com/gp/help/customer/accessibility","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
194,"Deliver toTaiwan","https://www.amazon.com","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
195,"Returns& Orders","https://www.amazon.com/gp/css/order-history?ref_=nav_orders_first","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
196,"Start here.","https://www.amazon.com/ap/register?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3F_encoding%3DUTF8%26ref_%3Dnav_newcust&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
197,"All","https://www.amazon.com","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
198,"Extra 50% off on Amazon Bazaar app","https://www.amazon.com/b/?_encoding=UTF8&_encoding=UTF8&node=212706003011&ref_=nav_swm_undefined&pf_rd_p=745d9dea-e539-4644-aea4-1909070e62f5&pf_rd_s=nav-sitewide-msg-text-export&pf_rd_t=4201&pf_rd_i=navbar-4201&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=360VAJ67V18D5QJFN9EA","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
199,"Create a List","https://www.amazon.com/hz/wishlist/ls?triggerElementID=createList&ref_=nav_ListFlyout_navFlyout_createList_lv_redirect","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
200,"Find a List or Registry","https://www.amazon.com/registries?ref_=nav_ListFlyout_find","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
201,"Orders","https://www.amazon.com/gp/css/order-history?ref_=nav_AccountFlyout_orders","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
202,"Recommendations","https://www.amazon.com/gp/yourstore?ref_=nav_AccountFlyout_recs","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
203,"Browsing History","https://www.amazon.com/gp/history?ref_=nav_AccountFlyout_browsinghistory","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
204,"Your Shopping preferences","https://www.amazon.com/slc/hub?ref_=nav_AccountFlyout_sl_ph_navflyout","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
205,"Watchlist","https://www.amazon.com/gp/video/watchlist?ref_=nav_AccountFlyout_ywl","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
206,"Video Purchases & Rentals","https://www.amazon.com/gp/video/library?ref_=nav_AccountFlyout_yvl","2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
207,"Electronics",NULL,"2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
208,"Computers & Accessories",NULL,"2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
209,"Computers & Tablets",NULL,"2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
210,"Laptops",NULL,"2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
211,"Traditional Laptops",NULL,"2025-11-08 18:11:09.409089+08","2025-11-08 18:11:09.409089+08"
